"Infected","District","Date"
36.545,"Bagalakote","2020-04-18"
38.6613,"Bagalakote","2020-04-19"
40.839,"Bagalakote","2020-04-20"
43.0824,"Bagalakote","2020-04-21"
45.3954,"Bagalakote","2020-04-22"
47.7813,"Bagalakote","2020-04-23"
50.2433,"Bagalakote","2020-04-24"
52.7841,"Bagalakote","2020-04-25"
55.4067,"Bagalakote","2020-04-26"
58.1139,"Bagalakote","2020-04-27"
60.9086,"Bagalakote","2020-04-28"
63.7938,"Bagalakote","2020-04-29"
66.7724,"Bagalakote","2020-04-30"
69.8474,"Bagalakote","2020-05-01"
73.0221,"Bagalakote","2020-05-02"
76.2997,"Bagalakote","2020-05-03"
79.6835,"Bagalakote","2020-05-04"
83.177,"Bagalakote","2020-05-05"
86.7837,"Bagalakote","2020-05-06"
89.9048,"Bagalakote","2020-05-07"
92.1982,"Bagalakote","2020-05-08"
93.9365,"Bagalakote","2020-05-09"
95.2995,"Bagalakote","2020-05-10"
96.406,"Bagalakote","2020-05-11"
97.3347,"Bagalakote","2020-05-12"
98.1377,"Bagalakote","2020-05-13"
98.8497,"Bagalakote","2020-05-14"
99.4939,"Bagalakote","2020-05-15"
100.086,"Bagalakote","2020-05-16"
100.636,"Bagalakote","2020-05-17"
101.153,"Bagalakote","2020-05-18"
101.64,"Bagalakote","2020-05-19"
102.101,"Bagalakote","2020-05-20"
102.54,"Bagalakote","2020-05-21"
102.958,"Bagalakote","2020-05-22"
103.356,"Bagalakote","2020-05-23"
103.737,"Bagalakote","2020-05-24"
104.1,"Bagalakote","2020-05-25"
104.448,"Bagalakote","2020-05-26"
104.78,"Bagalakote","2020-05-27"
105.098,"Bagalakote","2020-05-28"
105.403,"Bagalakote","2020-05-29"
105.694,"Bagalakote","2020-05-30"
105.972,"Bagalakote","2020-05-31"
106.239,"Bagalakote","2020-06-01"
106.494,"Bagalakote","2020-06-02"
106.738,"Bagalakote","2020-06-03"
107.287,"Bagalakote","2020-06-04"
108.345,"Bagalakote","2020-06-05"
109.804,"Bagalakote","2020-06-06"
111.597,"Bagalakote","2020-06-07"
113.687,"Bagalakote","2020-06-08"
116.057,"Bagalakote","2020-06-09"
118.704,"Bagalakote","2020-06-10"
121.634,"Bagalakote","2020-06-11"
124.86,"Bagalakote","2020-06-12"
128.401,"Bagalakote","2020-06-13"
132.282,"Bagalakote","2020-06-14"
136.531,"Bagalakote","2020-06-15"
141.178,"Bagalakote","2020-06-16"
146.26,"Bagalakote","2020-06-17"
151.816,"Bagalakote","2020-06-18"
157.889,"Bagalakote","2020-06-19"
164.527,"Bagalakote","2020-06-20"
171.782,"Bagalakote","2020-06-21"
179.711,"Bagalakote","2020-06-22"
188.376,"Bagalakote","2020-06-23"
197.846,"Bagalakote","2020-06-24"
208.196,"Bagalakote","2020-06-25"
219.506,"Bagalakote","2020-06-26"
231.867,"Bagalakote","2020-06-27"
245.375,"Bagalakote","2020-06-28"
260.137,"Bagalakote","2020-06-29"
276.27,"Bagalakote","2020-06-30"
192,"Bagalakote","2020-07-01"
208,"Bagalakote","2020-07-02"
210,"Bagalakote","2020-07-03"
219,"Bagalakote","2020-07-04"
225,"Bagalakote","2020-07-05"
249,"Bagalakote","2020-07-06"
255,"Bagalakote","2020-07-07"
310,"Bagalakote","2020-07-08"
318,"Bagalakote","2020-07-09"
296,"Bagalakote","2020-07-10"
338,"Bagalakote","2020-07-11"
367,"Bagalakote","2020-07-12"
376,"Bagalakote","2020-07-13"
431,"Bagalakote","2020-07-14"
600,"Bagalakote","2020-07-15"
631,"Bagalakote","2020-07-16"
651,"Bagalakote","2020-07-17"
811,"Bagalakote","2020-07-18"
730,"Bagalakote","2020-07-19"
887,"Bagalakote","2020-07-20"
861,"Bagalakote","2020-07-21"
883,"Bagalakote","2020-07-22"
942,"Bagalakote","2020-07-23"
937,"Bagalakote","2020-07-24"
1032,"Bagalakote","2020-07-25"
1065,"Bagalakote","2020-07-26"
1107,"Bagalakote","2020-07-27"
1185,"Bagalakote","2020-07-28"
1415,"Bagalakote","2020-07-29"
1541,"Bagalakote","2020-07-30"
1642,"Bagalakote","2020-07-31"
1831,"Bagalakote","2020-08-01"
2102,"Bagalakote","2020-08-02"
2088,"Bagalakote","2020-08-03"
2213,"Bagalakote","2020-08-04"
2452,"Bagalakote","2020-08-05"
2713,"Bagalakote","2020-08-06"
2787,"Bagalakote","2020-08-07"
2876,"Bagalakote","2020-08-08"
3061,"Bagalakote","2020-08-09"
3126,"Bagalakote","2020-08-10"
3393,"Bagalakote","2020-08-11"
3478,"Bagalakote","2020-08-12"
3694,"Bagalakote","2020-08-13"
3880,"Bagalakote","2020-08-14"
4146,"Bagalakote","2020-08-15"
4263,"Bagalakote","2020-08-16"
4577,"Bagalakote","2020-08-17"
4660,"Bagalakote","2020-08-18"
4710,"Bagalakote","2020-08-19"
4894,"Bagalakote","2020-08-20"
5103,"Bagalakote","2020-08-21"
5274,"Bagalakote","2020-08-22"
5564,"Bagalakote","2020-08-23"
5710,"Bagalakote","2020-08-24"
5963,"Bagalakote","2020-08-25"
5580,"Bagalakote","2020-08-26"
5603,"Bagalakote","2020-08-27"
5586,"Bagalakote","2020-08-28"
5617,"Bagalakote","2020-08-29"
5885,"Bagalakote","2020-08-30"
5986,"Bagalakote","2020-08-31"
6367,"Bagalakote","2020-09-01"
6550,"Bagalakote","2020-09-02"
6684,"Bagalakote","2020-09-03"
6960,"Bagalakote","2020-09-04"
7139,"Bagalakote","2020-09-05"
7449,"Bagalakote","2020-09-06"
7553,"Bagalakote","2020-09-07"
8228,"Bagalakote","2020-09-08"
7597,"Bagalakote","2020-09-09"
7707,"Bagalakote","2020-09-10"
7862,"Bagalakote","2020-09-11"
8058,"Bagalakote","2020-09-12"
8203,"Bagalakote","2020-09-13"
8331,"Bagalakote","2020-09-14"
8717,"Bagalakote","2020-09-15"
8573,"Bagalakote","2020-09-16"
8745,"Bagalakote","2020-09-17"
8873,"Bagalakote","2020-09-18"
9068,"Bagalakote","2020-09-19"
9298,"Bagalakote","2020-09-20"
9477,"Bagalakote","2020-09-21"
9591,"Bagalakote","2020-09-22"
9448,"Bagalakote","2020-09-23"
9632,"Bagalakote","2020-09-24"
9686,"Bagalakote","2020-09-25"
9884,"Bagalakote","2020-09-26"
10062,"Bagalakote","2020-09-27"
10215,"Bagalakote","2020-09-28"
10377,"Bagalakote","2020-09-29"
10270,"Bagalakote","2020-09-30"
10572,"Bagalakote","2020-10-01"
10701,"Bagalakote","2020-10-02"
10831,"Bagalakote","2020-10-03"
11235,"Bagalakote","2020-10-04"
11609,"Bagalakote","2020-10-05"
11883,"Bagalakote","2020-10-06"
11069,"Bagalakote","2020-10-07"
11408,"Bagalakote","2020-10-08"
11544,"Bagalakote","2020-10-09"
11624,"Bagalakote","2020-10-10"
11777,"Bagalakote","2020-10-11"
12576,"Bagalakote","2020-10-12"
12556,"Bagalakote","2020-10-13"
11994,"Bagalakote","2020-10-14"
12095,"Bagalakote","2020-10-15"
12263,"Bagalakote","2020-10-16"
12431,"Bagalakote","2020-10-17"
12653,"Bagalakote","2020-10-18"
12871,"Bagalakote","2020-10-19"
13000,"Bagalakote","2020-10-20"
12724,"Bagalakote","2020-10-21"
12789,"Bagalakote","2020-10-22"
12901,"Bagalakote","2020-10-23"
13098,"Bagalakote","2020-10-24"
13320,"Bagalakote","2020-10-25"
13316,"Bagalakote","2020-10-26"
13432,"Bagalakote","2020-10-27"
13125,"Bagalakote","2020-10-28"
13404,"Bagalakote","2020-10-29"
13628,"Bagalakote","2020-10-30"
13882,"Bagalakote","2020-10-31"
13268,"Bagalakote","2020-11-01"
13515,"Bagalakote","2020-11-02"
13630,"Bagalakote","2020-11-03"
13170,"Bagalakote","2020-11-04"
13387,"Bagalakote","2020-11-05"
13948,"Bagalakote","2020-11-06"
13253,"Bagalakote","2020-11-07"
13243,"Bagalakote","2020-11-08"
13306,"Bagalakote","2020-11-09"
13379,"Bagalakote","2020-11-10"
13329,"Bagalakote","2020-11-11"
13359,"Bagalakote","2020-11-12"
13387,"Bagalakote","2020-11-13"
13417,"Bagalakote","2020-11-14"
13439,"Bagalakote","2020-11-15"
13449,"Bagalakote","2020-11-16"
13472,"Bagalakote","2020-11-17"
13435,"Bagalakote","2020-11-18"
13522,"Bagalakote","2020-11-19"
13825,"Bagalakote","2020-11-20"
13844,"Bagalakote","2020-11-21"
13850,"Bagalakote","2020-11-22"
13897,"Bagalakote","2020-11-23"
13896,"Bagalakote","2020-11-24"
13478,"Bagalakote","2020-11-25"
13503,"Bagalakote","2020-11-26"
13520,"Bagalakote","2020-11-27"
13531,"Bagalakote","2020-11-28"
13540,"Bagalakote","2020-11-29"
13549,"Bagalakote","2020-11-30"
13559,"Bagalakote","2020-12-01"
13534,"Bagalakote","2020-12-02"
13580,"Bagalakote","2020-12-03"
13654,"Bagalakote","2020-12-04"
13671,"Bagalakote","2020-12-05"
13678,"Bagalakote","2020-12-06"
13683,"Bagalakote","2020-12-07"
13687,"Bagalakote","2020-12-08"
13581,"Bagalakote","2020-12-09"
13592,"Bagalakote","2020-12-10"
13601,"Bagalakote","2020-12-11"
13609,"Bagalakote","2020-12-12"
13615,"Bagalakote","2020-12-13"
13624,"Bagalakote","2020-12-14"
13632,"Bagalakote","2020-12-15"
13624,"Bagalakote","2020-12-16"
13630,"Bagalakote","2020-12-17"
13636,"Bagalakote","2020-12-18"
13640,"Bagalakote","2020-12-19"
13646,"Bagalakote","2020-12-20"
13650,"Bagalakote","2020-12-21"
13659,"Bagalakote","2020-12-22"
13652,"Bagalakote","2020-12-23"
13658,"Bagalakote","2020-12-24"
13663,"Bagalakote","2020-12-25"
13667,"Bagalakote","2020-12-26"
13672,"Bagalakote","2020-12-27"
13675,"Bagalakote","2020-12-28"
13681,"Bagalakote","2020-12-29"
13661,"Bagalakote","2020-12-30"
13665,"Bagalakote","2020-12-31"
13668,"Bagalakote","2021-01-01"
13671,"Bagalakote","2021-01-02"
13675,"Bagalakote","2021-01-03"
13677,"Bagalakote","2021-01-04"
13680,"Bagalakote","2021-01-05"
13708,"Bagalakote","2021-01-06"
13714,"Bagalakote","2021-01-07"
13718,"Bagalakote","2021-01-08"
13725,"Bagalakote","2021-01-09"
13729,"Bagalakote","2021-01-10"
13734,"Bagalakote","2021-01-11"
13740,"Bagalakote","2021-01-12"
13720,"Bagalakote","2021-01-13"
13725,"Bagalakote","2021-01-14"
13729,"Bagalakote","2021-01-15"
13733,"Bagalakote","2021-01-16"
13736,"Bagalakote","2021-01-17"
13739,"Bagalakote","2021-01-18"
13743,"Bagalakote","2021-01-19"
13750,"Bagalakote","2021-01-20"
13754,"Bagalakote","2021-01-21"
13757,"Bagalakote","2021-01-22"
13762,"Bagalakote","2021-01-23"
13766,"Bagalakote","2021-01-24"
13770,"Bagalakote","2021-01-25"
13774,"Bagalakote","2021-01-26"
13756,"Bagalakote","2021-01-27"
13759,"Bagalakote","2021-01-28"
13762,"Bagalakote","2021-01-29"
13765,"Bagalakote","2021-01-30"
13769,"Bagalakote","2021-01-31"
13771,"Bagalakote","2021-02-01"
13775,"Bagalakote","2021-02-02"
13763,"Bagalakote","2021-02-03"
13766,"Bagalakote","2021-02-04"
13768,"Bagalakote","2021-02-05"
13771,"Bagalakote","2021-02-06"
13773,"Bagalakote","2021-02-07"
13776,"Bagalakote","2021-02-08"
13779,"Bagalakote","2021-02-09"
13766,"Bagalakote","2021-02-10"
13769,"Bagalakote","2021-02-11"
13769,"Bagalakote","2021-02-12"
13771,"Bagalakote","2021-02-13"
13773,"Bagalakote","2021-02-14"
13775,"Bagalakote","2021-02-15"
13777,"Bagalakote","2021-02-16"
13767,"Bagalakote","2021-02-17"
13769,"Bagalakote","2021-02-18"
13771,"Bagalakote","2021-02-19"
13772,"Bagalakote","2021-02-20"
13774,"Bagalakote","2021-02-21"
13776,"Bagalakote","2021-02-22"
13778,"Bagalakote","2021-02-23"
13777,"Bagalakote","2021-02-24"
13779,"Bagalakote","2021-02-25"
13781,"Bagalakote","2021-02-26"
13783,"Bagalakote","2021-02-27"
13785,"Bagalakote","2021-02-28"
13787,"Bagalakote","2021-03-01"
13789,"Bagalakote","2021-03-02"
13780,"Bagalakote","2021-03-03"
13781,"Bagalakote","2021-03-04"
13779,"Bagalakote","2021-03-05"
13780,"Bagalakote","2021-03-06"
13781,"Bagalakote","2021-03-07"
13783,"Bagalakote","2021-03-08"
13784,"Bagalakote","2021-03-09"
13785,"Bagalakote","2021-03-10"
13786,"Bagalakote","2021-03-11"
13787,"Bagalakote","2021-03-12"
13801,"Bagalakote","2021-03-13"
13804,"Bagalakote","2021-03-14"
13807,"Bagalakote","2021-03-15"
13809,"Bagalakote","2021-03-16"
13811,"Bagalakote","2021-03-17"
13814,"Bagalakote","2021-03-18"
13815,"Bagalakote","2021-03-19"
13813,"Bagalakote","2021-03-20"
13815,"Bagalakote","2021-03-21"
13817,"Bagalakote","2021-03-22"
13819,"Bagalakote","2021-03-23"
13822,"Bagalakote","2021-03-24"
13825,"Bagalakote","2021-03-25"
13827,"Bagalakote","2021-03-26"
13884,"Bagalakote","2021-03-27"
13892,"Bagalakote","2021-03-28"
13898,"Bagalakote","2021-03-29"
13904,"Bagalakote","2021-03-30"
13912,"Bagalakote","2021-03-31"
13918,"Bagalakote","2021-04-01"
13924,"Bagalakote","2021-04-02"
13953,"Bagalakote","2021-04-03"
13962,"Bagalakote","2021-04-04"
13971,"Bagalakote","2021-04-05"
13979,"Bagalakote","2021-04-06"
13987,"Bagalakote","2021-04-07"
13994,"Bagalakote","2021-04-08"
14001,"Bagalakote","2021-04-09"
23.7863,"Ballari","2020-05-08"
24.8447,"Ballari","2020-05-09"
26.0533,"Ballari","2020-05-10"
27.4279,"Ballari","2020-05-11"
28.9876,"Ballari","2020-05-12"
30.7553,"Ballari","2020-05-13"
32.7573,"Ballari","2020-05-14"
35.0238,"Ballari","2020-05-15"
37.5891,"Ballari","2020-05-16"
40.4923,"Ballari","2020-05-17"
43.7778,"Ballari","2020-05-18"
47.4956,"Ballari","2020-05-19"
51.7027,"Ballari","2020-05-20"
56.4633,"Ballari","2020-05-21"
61.8502,"Ballari","2020-05-22"
67.9459,"Ballari","2020-05-23"
72.1956,"Ballari","2020-05-24"
73.3616,"Ballari","2020-05-25"
72.8239,"Ballari","2020-05-26"
71.4144,"Ballari","2020-05-27"
69.6251,"Ballari","2020-05-28"
69.0009,"Ballari","2020-05-29"
70.398,"Ballari","2020-05-30"
73.3724,"Ballari","2020-05-31"
77.6967,"Ballari","2020-06-01"
84.8182,"Ballari","2020-06-02"
96.7002,"Ballari","2020-06-03"
114.533,"Ballari","2020-06-04"
140.246,"Ballari","2020-06-05"
176.704,"Ballari","2020-06-06"
217.7,"Ballari","2020-06-07"
256.703,"Ballari","2020-06-08"
295.945,"Ballari","2020-06-09"
336.998,"Ballari","2020-06-10"
375.959,"Ballari","2020-06-11"
410.089,"Ballari","2020-06-12"
441.423,"Ballari","2020-06-13"
471.287,"Ballari","2020-06-14"
500.518,"Ballari","2020-06-15"
529.622,"Ballari","2020-06-16"
558.925,"Ballari","2020-06-17"
588.64,"Ballari","2020-06-18"
619.008,"Ballari","2020-06-19"
650.187,"Ballari","2020-06-20"
682.208,"Ballari","2020-06-21"
719.568,"Ballari","2020-06-22"
765.418,"Ballari","2020-06-23"
818.33,"Ballari","2020-06-24"
877.515,"Ballari","2020-06-25"
939.873,"Ballari","2020-06-26"
1003.35,"Ballari","2020-06-27"
1068.87,"Ballari","2020-06-28"
1137.1,"Ballari","2020-06-29"
1201.09,"Ballari","2020-06-30"
866,"Ballari","2020-07-01"
943,"Ballari","2020-07-02"
1085,"Ballari","2020-07-03"
1150,"Ballari","2020-07-04"
1816,"Ballari","2020-07-05"
1862,"Ballari","2020-07-06"
1924,"Ballari","2020-07-07"
1474,"Ballari","2020-07-08"
1588,"Ballari","2020-07-09"
1752,"Ballari","2020-07-10"
1904,"Ballari","2020-07-11"
2060,"Ballari","2020-07-12"
2207,"Ballari","2020-07-13"
2344,"Ballari","2020-07-14"
1926,"Ballari","2020-07-15"
2119,"Ballari","2020-07-16"
3139,"Ballari","2020-07-17"
3385,"Ballari","2020-07-18"
4330,"Ballari","2020-07-19"
4363,"Ballari","2020-07-20"
4687,"Ballari","2020-07-21"
3014,"Ballari","2020-07-22"
3243,"Ballari","2020-07-23"
4548,"Ballari","2020-07-24"
4825,"Ballari","2020-07-25"
5050,"Ballari","2020-07-26"
5170,"Ballari","2020-07-27"
5494,"Ballari","2020-07-28"
5804,"Ballari","2020-07-29"
5800,"Ballari","2020-07-30"
6374,"Ballari","2020-07-31"
6587,"Ballari","2020-08-01"
8010,"Ballari","2020-08-02"
8410,"Ballari","2020-08-03"
10093,"Ballari","2020-08-04"
7928,"Ballari","2020-08-05"
8389,"Ballari","2020-08-06"
9005,"Ballari","2020-08-07"
9570,"Ballari","2020-08-08"
10294,"Ballari","2020-08-09"
10729,"Ballari","2020-08-10"
11037,"Ballari","2020-08-11"
11903,"Ballari","2020-08-12"
12710,"Ballari","2020-08-13"
14163,"Ballari","2020-08-14"
15382,"Ballari","2020-08-15"
16193,"Ballari","2020-08-16"
17496,"Ballari","2020-08-17"
18740,"Ballari","2020-08-18"
15919,"Ballari","2020-08-19"
16481,"Ballari","2020-08-20"
17859,"Ballari","2020-08-21"
18197,"Ballari","2020-08-22"
19710,"Ballari","2020-08-23"
20187,"Ballari","2020-08-24"
21154,"Ballari","2020-08-25"
19072,"Ballari","2020-08-26"
19492,"Ballari","2020-08-27"
20395,"Ballari","2020-08-28"
20657,"Ballari","2020-08-29"
22509,"Ballari","2020-08-30"
22263,"Ballari","2020-08-31"
22467,"Ballari","2020-09-01"
22330,"Ballari","2020-09-02"
22774,"Ballari","2020-09-03"
23110,"Ballari","2020-09-04"
23533,"Ballari","2020-09-05"
24003,"Ballari","2020-09-06"
25360,"Ballari","2020-09-07"
24879,"Ballari","2020-09-08"
24907,"Ballari","2020-09-09"
25225,"Ballari","2020-09-10"
25588,"Ballari","2020-09-11"
27175,"Ballari","2020-09-12"
27423,"Ballari","2020-09-13"
29158,"Ballari","2020-09-14"
28861,"Ballari","2020-09-15"
27913,"Ballari","2020-09-16"
28530,"Ballari","2020-09-17"
28953,"Ballari","2020-09-18"
28920,"Ballari","2020-09-19"
29055,"Ballari","2020-09-20"
29383,"Ballari","2020-09-21"
29279,"Ballari","2020-09-22"
30160,"Ballari","2020-09-23"
30519,"Ballari","2020-09-24"
30744,"Ballari","2020-09-25"
30647,"Ballari","2020-09-26"
30402,"Ballari","2020-09-27"
33106,"Ballari","2020-09-28"
32631,"Ballari","2020-09-29"
31693,"Ballari","2020-09-30"
31517,"Ballari","2020-10-01"
31556,"Ballari","2020-10-02"
31465,"Ballari","2020-10-03"
31843,"Ballari","2020-10-04"
31236,"Ballari","2020-10-05"
31095,"Ballari","2020-10-06"
33560,"Ballari","2020-10-07"
33649,"Ballari","2020-10-08"
33913,"Ballari","2020-10-09"
33881,"Ballari","2020-10-10"
33888,"Ballari","2020-10-11"
33961,"Ballari","2020-10-12"
34163,"Ballari","2020-10-13"
35009,"Ballari","2020-10-14"
34988,"Ballari","2020-10-15"
35257,"Ballari","2020-10-16"
35144,"Ballari","2020-10-17"
35123,"Ballari","2020-10-18"
35245,"Ballari","2020-10-19"
35333,"Ballari","2020-10-20"
36294,"Ballari","2020-10-21"
36474,"Ballari","2020-10-22"
36683,"Ballari","2020-10-23"
36782,"Ballari","2020-10-24"
36791,"Ballari","2020-10-25"
36965,"Ballari","2020-10-26"
37149,"Ballari","2020-10-27"
37152,"Ballari","2020-10-28"
37250,"Ballari","2020-10-29"
37355,"Ballari","2020-10-30"
37392,"Ballari","2020-10-31"
37447,"Ballari","2020-11-01"
37559,"Ballari","2020-11-02"
37604,"Ballari","2020-11-03"
37592,"Ballari","2020-11-04"
37617,"Ballari","2020-11-05"
37676,"Ballari","2020-11-06"
37764,"Ballari","2020-11-07"
37630,"Ballari","2020-11-08"
37608,"Ballari","2020-11-09"
37578,"Ballari","2020-11-10"
37949,"Ballari","2020-11-11"
37979,"Ballari","2020-11-12"
38022,"Ballari","2020-11-13"
38086,"Ballari","2020-11-14"
38107,"Ballari","2020-11-15"
38136,"Ballari","2020-11-16"
38151,"Ballari","2020-11-17"
37960,"Ballari","2020-11-18"
37959,"Ballari","2020-11-19"
37991,"Ballari","2020-11-20"
38016,"Ballari","2020-11-21"
38028,"Ballari","2020-11-22"
38038,"Ballari","2020-11-23"
38061,"Ballari","2020-11-24"
38164,"Ballari","2020-11-25"
38179,"Ballari","2020-11-26"
38212,"Ballari","2020-11-27"
38237,"Ballari","2020-11-28"
38264,"Ballari","2020-11-29"
38292,"Ballari","2020-11-30"
38318,"Ballari","2020-12-01"
38264,"Ballari","2020-12-02"
38281,"Ballari","2020-12-03"
38302,"Ballari","2020-12-04"
38322,"Ballari","2020-12-05"
38340,"Ballari","2020-12-06"
38363,"Ballari","2020-12-07"
38389,"Ballari","2020-12-08"
38412,"Ballari","2020-12-09"
38432,"Ballari","2020-12-10"
38457,"Ballari","2020-12-11"
38484,"Ballari","2020-12-12"
38507,"Ballari","2020-12-13"
38524,"Ballari","2020-12-14"
38539,"Ballari","2020-12-15"
38568,"Ballari","2020-12-16"
38601,"Ballari","2020-12-17"
38616,"Ballari","2020-12-18"
38640,"Ballari","2020-12-19"
38663,"Ballari","2020-12-20"
38685,"Ballari","2020-12-21"
38704,"Ballari","2020-12-22"
38754,"Ballari","2020-12-23"
38777,"Ballari","2020-12-24"
38801,"Ballari","2020-12-25"
38825,"Ballari","2020-12-26"
38849,"Ballari","2020-12-27"
38872,"Ballari","2020-12-28"
38895,"Ballari","2020-12-29"
38857,"Ballari","2020-12-30"
38880,"Ballari","2020-12-31"
38903,"Ballari","2021-01-01"
38923,"Ballari","2021-01-02"
38946,"Ballari","2021-01-03"
38967,"Ballari","2021-01-04"
38988,"Ballari","2021-01-05"
38939,"Ballari","2021-01-06"
38957,"Ballari","2021-01-07"
38976,"Ballari","2021-01-08"
38995,"Ballari","2021-01-09"
39015,"Ballari","2021-01-10"
39034,"Ballari","2021-01-11"
39054,"Ballari","2021-01-12"
39030,"Ballari","2021-01-13"
39049,"Ballari","2021-01-14"
39067,"Ballari","2021-01-15"
39086,"Ballari","2021-01-16"
39105,"Ballari","2021-01-17"
39123,"Ballari","2021-01-18"
39142,"Ballari","2021-01-19"
39095,"Ballari","2021-01-20"
39112,"Ballari","2021-01-21"
39128,"Ballari","2021-01-22"
39144,"Ballari","2021-01-23"
39161,"Ballari","2021-01-24"
39177,"Ballari","2021-01-25"
39194,"Ballari","2021-01-26"
39136,"Ballari","2021-01-27"
39149,"Ballari","2021-01-28"
39163,"Ballari","2021-01-29"
39176,"Ballari","2021-01-30"
39189,"Ballari","2021-01-31"
39203,"Ballari","2021-02-01"
39217,"Ballari","2021-02-02"
39166,"Ballari","2021-02-03"
39177,"Ballari","2021-02-04"
39187,"Ballari","2021-02-05"
39198,"Ballari","2021-02-06"
39207,"Ballari","2021-02-07"
39219,"Ballari","2021-02-08"
39230,"Ballari","2021-02-09"
39191,"Ballari","2021-02-10"
39199,"Ballari","2021-02-11"
39209,"Ballari","2021-02-12"
39219,"Ballari","2021-02-13"
39227,"Ballari","2021-02-14"
39236,"Ballari","2021-02-15"
39246,"Ballari","2021-02-16"
39205,"Ballari","2021-02-17"
39213,"Ballari","2021-02-18"
39220,"Ballari","2021-02-19"
39228,"Ballari","2021-02-20"
39234,"Ballari","2021-02-21"
39241,"Ballari","2021-02-22"
39250,"Ballari","2021-02-23"
39233,"Ballari","2021-02-24"
39240,"Ballari","2021-02-25"
39248,"Ballari","2021-02-26"
39255,"Ballari","2021-02-27"
39261,"Ballari","2021-02-28"
39268,"Ballari","2021-03-01"
39275,"Ballari","2021-03-02"
39293,"Ballari","2021-03-03"
39302,"Ballari","2021-03-04"
39304,"Ballari","2021-03-05"
39312,"Ballari","2021-03-06"
39322,"Ballari","2021-03-07"
39330,"Ballari","2021-03-08"
39338,"Ballari","2021-03-09"
39346,"Ballari","2021-03-10"
39355,"Ballari","2021-03-11"
39363,"Ballari","2021-03-12"
39397,"Ballari","2021-03-13"
39408,"Ballari","2021-03-14"
39421,"Ballari","2021-03-15"
39431,"Ballari","2021-03-16"
39443,"Ballari","2021-03-17"
39454,"Ballari","2021-03-18"
39465,"Ballari","2021-03-19"
39457,"Ballari","2021-03-20"
39466,"Ballari","2021-03-21"
39476,"Ballari","2021-03-22"
39487,"Ballari","2021-03-23"
39497,"Ballari","2021-03-24"
39507,"Ballari","2021-03-25"
39516,"Ballari","2021-03-26"
39629,"Ballari","2021-03-27"
39648,"Ballari","2021-03-28"
39669,"Ballari","2021-03-29"
39687,"Ballari","2021-03-30"
39706,"Ballari","2021-03-31"
39723,"Ballari","2021-04-01"
39740,"Ballari","2021-04-02"
39925,"Ballari","2021-04-03"
39959,"Ballari","2021-04-04"
39995,"Ballari","2021-04-05"
40026,"Ballari","2021-04-06"
40058,"Ballari","2021-04-07"
40086,"Ballari","2021-04-08"
40111,"Ballari","2021-04-09"
48.6352,"Belagavi","2020-04-13"
50.8402,"Belagavi","2020-04-14"
53.2433,"Belagavi","2020-04-15"
55.8126,"Belagavi","2020-04-16"
58.5262,"Belagavi","2020-04-17"
61.3691,"Belagavi","2020-04-18"
64.3318,"Belagavi","2020-04-19"
67.4079,"Belagavi","2020-04-20"
69.9208,"Belagavi","2020-04-21"
71.4662,"Belagavi","2020-04-22"
72.3413,"Belagavi","2020-04-23"
72.7564,"Belagavi","2020-04-24"
72.86,"Belagavi","2020-04-25"
72.7567,"Belagavi","2020-04-26"
72.5198,"Belagavi","2020-04-27"
72.2005,"Belagavi","2020-04-28"
72.0885,"Belagavi","2020-04-29"
72.3502,"Belagavi","2020-04-30"
72.8308,"Belagavi","2020-05-01"
73.4232,"Belagavi","2020-05-02"
74.0916,"Belagavi","2020-05-03"
74.8106,"Belagavi","2020-05-04"
75.5619,"Belagavi","2020-05-05"
76.3798,"Belagavi","2020-05-06"
77.2852,"Belagavi","2020-05-07"
78.2534,"Belagavi","2020-05-08"
79.2667,"Belagavi","2020-05-09"
80.3124,"Belagavi","2020-05-10"
81.3815,"Belagavi","2020-05-11"
82.4822,"Belagavi","2020-05-12"
83.6198,"Belagavi","2020-05-13"
84.7857,"Belagavi","2020-05-14"
85.974,"Belagavi","2020-05-15"
87.0072,"Belagavi","2020-05-16"
87.778,"Belagavi","2020-05-17"
88.3599,"Belagavi","2020-05-18"
89.1349,"Belagavi","2020-05-19"
90.3693,"Belagavi","2020-05-20"
91.983,"Belagavi","2020-05-21"
93.9232,"Belagavi","2020-05-22"
96.5645,"Belagavi","2020-05-23"
100.302,"Belagavi","2020-05-24"
105.188,"Belagavi","2020-05-25"
111.331,"Belagavi","2020-05-26"
118.896,"Belagavi","2020-05-27"
128.104,"Belagavi","2020-05-28"
137.192,"Belagavi","2020-05-29"
144.654,"Belagavi","2020-05-30"
150.951,"Belagavi","2020-05-31"
156.412,"Belagavi","2020-06-01"
161.271,"Belagavi","2020-06-02"
164.575,"Belagavi","2020-06-03"
165.879,"Belagavi","2020-06-04"
165.879,"Belagavi","2020-06-05"
165.057,"Belagavi","2020-06-06"
163.743,"Belagavi","2020-06-07"
162.164,"Belagavi","2020-06-08"
160.465,"Belagavi","2020-06-09"
158.739,"Belagavi","2020-06-10"
157.055,"Belagavi","2020-06-11"
155.452,"Belagavi","2020-06-12"
153.954,"Belagavi","2020-06-13"
152.571,"Belagavi","2020-06-14"
151.308,"Belagavi","2020-06-15"
150.403,"Belagavi","2020-06-16"
149.995,"Belagavi","2020-06-17"
149.968,"Belagavi","2020-06-18"
